Country,Protest,ProtestYear
Australia,0,
Austria,0,
Belgium,0,
Canada,0,
Chile,1,2019
Czech Republic,1,2019
Denmark,0,
Estonia,0,
Finland,0,
France,1,2018
Germany,0,
Greece,1,2010-2012
Hungary,1,"2006, 2014, 2018"
Iceland,1,2016
Ireland,1,2008-2015
Israel,1,"2011, 2019"
Italy,0,
Japan,0,
Korea,1,2016-2017
Luxembourg,0,
Mexico,1,2012
Netherlands,0,
New Zealand,0,
Norway,0,
Poland,0,
Portugal,1,2011
Slovak Republic,1,2018
Slovenia,1,2012-2013
Spain,1,2011-2012
Sweden,0,
Switzerland,0,
Turkey,1,2013
UK,1,2011
US,1,2014-2015
Brazil,1,2015-2016
China,1,2011
India,1,"2012, 2017"
Indonesia,1,2019
Russia,1,2017-2018
South Africa,1,2015-2016
