SUB,Subject,LOCATION,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2006,2006,IDX,Index,0,Units,2010_100,2010=100,87.40462,,
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2007,2007,IDX,Index,0,Units,2010_100,2010=100,92.87752,,
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2008,2008,IDX,Index,0,Units,2010_100,2010=100,90.96574,,
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2009,2009,IDX,Index,0,Units,2010_100,2010=100,88.23668,,
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2011,2011,IDX,Index,0,Units,2010_100,2010=100,106.9067,,
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2012,2012,IDX,Index,0,Units,2010_100,2010=100,108.3889,,
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2013,2013,IDX,Index,0,Units,2010_100,2010=100,103.6714,,
INTLCOMP_T1,Real effective exchange rates,AUS,Australia,2014,2014,IDX,Index,0,Units,2010_100,2010=100,99.01263,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2006,2006,IDX,Index,0,Units,2010_100,2010=100,101.6791,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2007,2007,IDX,Index,0,Units,2010_100,2010=100,102.1234,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2008,2008,IDX,Index,0,Units,2010_100,2010=100,102.2436,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2009,2009,IDX,Index,0,Units,2010_100,2010=100,103.0432,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2011,2011,IDX,Index,0,Units,2010_100,2010=100,100.3959,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2012,2012,IDX,Index,0,Units,2010_100,2010=100,98.82578,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2013,2013,IDX,Index,0,Units,2010_100,2010=100,100.8219,,
INTLCOMP_T1,Real effective exchange rates,AUT,Austria,2014,2014,IDX,Index,0,Units,2010_100,2010=100,102.6473,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2006,2006,IDX,Index,0,Units,2010_100,2010=100,100.17,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2007,2007,IDX,Index,0,Units,2010_100,2010=100,100.8853,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2008,2008,IDX,Index,0,Units,2010_100,2010=100,103.5117,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2009,2009,IDX,Index,0,Units,2010_100,2010=100,103.6106,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2011,2011,IDX,Index,0,Units,2010_100,2010=100,100.8751,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2012,2012,IDX,Index,0,Units,2010_100,2010=100,98.72707,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2013,2013,IDX,Index,0,Units,2010_100,2010=100,100.2232,,
INTLCOMP_T1,Real effective exchange rates,BEL,Belgium,2014,2014,IDX,Index,0,Units,2010_100,2010=100,100.5816,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2006,2006,IDX,Index,0,Units,2010_100,2010=100,95.85689,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2007,2007,IDX,Index,0,Units,2010_100,2010=100,98.71801,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2008,2008,IDX,Index,0,Units,2010_100,2010=100,96.0219,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2009,2009,IDX,Index,0,Units,2010_100,2010=100,92.02983,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2011,2011,IDX,Index,0,Units,2010_100,2010=100,101.4621,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2012,2012,IDX,Index,0,Units,2010_100,2010=100,101.1385,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2013,2013,IDX,Index,0,Units,2010_100,2010=100,97.64108,,
INTLCOMP_T1,Real effective exchange rates,CAN,Canada,2014,2014,IDX,Index,0,Units,2010_100,2010=100,92.02542,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2006,2006,IDX,Index,0,Units,2010_100,2010=100,87.51711,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2007,2007,IDX,Index,0,Units,2010_100,2010=100,89.88798,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2008,2008,IDX,Index,0,Units,2010_100,2010=100,102.9202,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2009,2009,IDX,Index,0,Units,2010_100,2010=100,99.04522,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2011,2011,IDX,Index,0,Units,2010_100,2010=100,101.9594,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2012,2012,IDX,Index,0,Units,2010_100,2010=100,98.75248,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2013,2013,IDX,Index,0,Units,2010_100,2010=100,96.62398,,
INTLCOMP_T1,Real effective exchange rates,CZE,Czech Republic,2014,2014,IDX,Index,0,Units,2010_100,2010=100,91.54374,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2006,2006,IDX,Index,0,Units,2010_100,2010=100,99.36733,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2007,2007,IDX,Index,0,Units,2010_100,2010=100,99.92783,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2008,2008,IDX,Index,0,Units,2010_100,2010=100,101.4431,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2009,2009,IDX,Index,0,Units,2010_100,2010=100,104.4394,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2011,2011,IDX,Index,0,Units,2010_100,2010=100,99.37817,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2012,2012,IDX,Index,0,Units,2010_100,2010=100,96.75116,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2013,2013,IDX,Index,0,Units,2010_100,2010=100,97.69882,,
INTLCOMP_T1,Real effective exchange rates,DNK,Denmark,2014,2014,IDX,Index,0,Units,2010_100,2010=100,98.89428,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2006,2006,IDX,Index,0,Units,2010_100,2010=100,102.5989,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2007,2007,IDX,Index,0,Units,2010_100,2010=100,103.6067,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2008,2008,IDX,Index,0,Units,2010_100,2010=100,105.0801,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2009,2009,IDX,Index,0,Units,2010_100,2010=100,106.6966,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2011,2011,IDX,Index,0,Units,2010_100,2010=100,99.59827,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2012,2012,IDX,Index,0,Units,2010_100,2010=100,96.9182,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2013,2013,IDX,Index,0,Units,2010_100,2010=100,98.60216,,
INTLCOMP_T1,Real effective exchange rates,FIN,Finland,2014,2014,IDX,Index,0,Units,2010_100,2010=100,101.3718,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2006,2006,IDX,Index,0,Units,2010_100,2010=100,102.7135,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2007,2007,IDX,Index,0,Units,2010_100,2010=100,103.0764,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2008,2008,IDX,Index,0,Units,2010_100,2010=100,103.8112,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2009,2009,IDX,Index,0,Units,2010_100,2010=100,104.0408,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2011,2011,IDX,Index,0,Units,2010_100,2010=100,99.25871,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2012,2012,IDX,Index,0,Units,2010_100,2010=100,96.34392,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2013,2013,IDX,Index,0,Units,2010_100,2010=100,97.39708,,
INTLCOMP_T1,Real effective exchange rates,FRA,France,2014,2014,IDX,Index,0,Units,2010_100,2010=100,97.81578,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2006,2006,IDX,Index,0,Units,2010_100,2010=100,103.5464,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2007,2007,IDX,Index,0,Units,2010_100,2010=100,104.7795,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2008,2008,IDX,Index,0,Units,2010_100,2010=100,104.8429,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2009,2009,IDX,Index,0,Units,2010_100,2010=100,105.718,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2011,2011,IDX,Index,0,Units,2010_100,2010=100,98.99458,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2012,2012,IDX,Index,0,Units,2010_100,2010=100,95.7285,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2013,2013,IDX,Index,0,Units,2010_100,2010=100,97.79808,,
INTLCOMP_T1,Real effective exchange rates,DEU,Germany,2014,2014,IDX,Index,0,Units,2010_100,2010=100,99.03469,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2006,2006,IDX,Index,0,Units,2010_100,2010=100,96.59647,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2007,2007,IDX,Index,0,Units,2010_100,2010=100,98.02263,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2008,2008,IDX,Index,0,Units,2010_100,2010=100,99.83427,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2009,2009,IDX,Index,0,Units,2010_100,2010=100,101.3663,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2010,2010,IDX,Index,0,Units,2010_100,2010=100,100,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2011,2011,IDX,Index,0,Units,2010_100,2010=100,100.6555,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2012,2012,IDX,Index,0,Units,2010_100,2010=100,96.7963,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2013,2013,IDX,Index,0,Units,2010_100,2010=100,95.87758,,
INTLCOMP_T1,Real effective exchange rates,GRC,Greece,2014,2014,IDX,Index,0,Units,2010_100,2010=100,95.46361,,
INTLCOMP_T1,Real effective exchange rates,HUN,Hungary,2006,2006,IDX,Index,0,Units,2010_100,2010=100,92.10589,,
