"SUB","Subject","LOCATION","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SIZEGDP_T1","GDP per capita","CHN","China (People's Republic of)","2006","2006","USD","US Dollar","0","Units",,,5716.698443,,
"SIZEGDP_T1","GDP per capita","CHN","China (People's Republic of)","2007","2007","USD","US Dollar","0","Units",,,6664.990953,,
"SIZEGDP_T1","GDP per capita","CHN","China (People's Republic of)","2008","2008","USD","US Dollar","0","Units",,,7412.130664,,
"SIZEGDP_T1","GDP per capita","CHN","China (People's Republic of)","2009","2009","USD","US Dollar","0","Units",,,8117.795562,,
"SIZEGDP_T1","GDP per capita","CHN","China (People's Republic of)","2010","2010","USD","US Dollar","0","Units",,,9031.011074,,
"SIZEGDP_T1","GDP per capita","CHN","China (People's Republic of)","2011","2011","USD","US Dollar","0","Units",,,10016.63401,,
"SIZEGDP_T1","GDP per capita","CHN","China (People's Republic of)","2012","2012","USD","US Dollar","0","Units",,,10917.47411,,
"SIZEGDP_T1","GDP per capita","CHN","China (People's Republic of)","2013","2013","USD","US Dollar","0","Units",,,11874.37798,,
"SIZEGDP_T1","GDP per capita","RUS","Russia","2006","2006","USD","US Dollar","0","Units",,,14916.17561,,
"SIZEGDP_T1","GDP per capita","RUS","Russia","2007","2007","USD","US Dollar","0","Units",,,16648.58991,,
"SIZEGDP_T1","GDP per capita","RUS","Russia","2008","2008","USD","US Dollar","0","Units",,,20163.60452,,
"SIZEGDP_T1","GDP per capita","RUS","Russia","2009","2009","USD","US Dollar","0","Units",,,19386.59534,,
"SIZEGDP_T1","GDP per capita","RUS","Russia","2010","2010","USD","US Dollar","0","Units",,,20497.95089,,
"SIZEGDP_T1","GDP per capita","RUS","Russia","2011","2011","USD","US Dollar","0","Units",,,22569.80956,,
"SIZEGDP_T1","GDP per capita","RUS","Russia","2012","2012","USD","US Dollar","0","Units",,,24068.7509,,
"SIZEGDP_T1","GDP per capita","RUS","Russia","2013","2013","USD","US Dollar","0","Units",,,25150.88357,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2006","2006","USD","US Dollar","0","Units",,,24349.91095,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2007","2007","USD","US Dollar","0","Units",,,26621.5185,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2008","2008","USD","US Dollar","0","Units",,,26994.3404,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2009","2009","USD","US Dollar","0","Units",,,26894.98891,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2010","2010","USD","US Dollar","0","Units",,,26940.77908,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2011","2011","USD","US Dollar","0","Units",,,28602.62128,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2012","2012","USD","US Dollar","0","Units",,,28635.60887,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2013","2013","USD","US Dollar","0","Units",,,28962.63931,,
"SIZEGDP_T1","GDP per capita","CZE","Czech Republic","2014","2014","USD","US Dollar","0","Units",,,30366.3728,,
"SIZEGDP_T1","GDP per capita","IND","India","2006","2006","USD","US Dollar","0","Units",,,3355.218501,,
"SIZEGDP_T1","GDP per capita","IND","India","2007","2007","USD","US Dollar","0","Units",,,3729.076499,,
"SIZEGDP_T1","GDP per capita","IND","India","2008","2008","USD","US Dollar","0","Units",,,3862.783554,,
"SIZEGDP_T1","GDP per capita","IND","India","2009","2009","USD","US Dollar","0","Units",,,4247.211586,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2006","2006","USD","US Dollar","0","Units",,,18760.01415,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2007","2007","USD","US Dollar","0","Units",,,21354.27427,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2008","2008","USD","US Dollar","0","Units",,,23727.53751,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2009","2009","USD","US Dollar","0","Units",,,23045.61637,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2010","2010","USD","US Dollar","0","Units",,,24324.88399,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2011","2011","USD","US Dollar","0","Units",,,25168.75326,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2012","2012","USD","US Dollar","0","Units",,,25808.68157,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2013","2013","USD","US Dollar","0","Units",,,26585.6502,,
"SIZEGDP_T1","GDP per capita","SVK","Slovak Republic","2014","2014","USD","US Dollar","0","Units",,,27711.18217,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2006","2006","USD","US Dollar","0","Units",,,10651.50768,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2007","2007","USD","US Dollar","0","Units",,,11441.27907,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2008","2008","USD","US Dollar","0","Units",,,11956.9777,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2009","2009","USD","US Dollar","0","Units",,,11598.1337,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2010","2010","USD","US Dollar","0","Units",,,11772.3016,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2011","2011","USD","US Dollar","0","Units",,,12291.72621,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2012","2012","USD","US Dollar","0","Units",,,12714.73623,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2013","2013","USD","US Dollar","0","Units",,,13002.32224,,
"SIZEGDP_T1","GDP per capita","ZAF","South Africa","2014","2014","USD","US Dollar","0","Units",,,13146.40287,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2006","2006","USD","US Dollar","0","Units",,,77305.97707,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2007","2007","USD","US Dollar","0","Units",,,82732.65621,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2008","2008","USD","US Dollar","0","Units",,,84920.05729,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2009","2009","USD","US Dollar","0","Units",,,80264.55685,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2010","2010","USD","US Dollar","0","Units",,,84440.34058,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2011","2011","USD","US Dollar","0","Units",,,90888.71361,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2012","2012","USD","US Dollar","0","Units",,,91255.95616,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2013","2013","USD","US Dollar","0","Units",,,93233.73818,,
"SIZEGDP_T1","GDP per capita","LUX","Luxembourg","2014","2014","USD","US Dollar","0","Units",,,97272.5672,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2006","2006","USD","US Dollar","0","Units",,,40853.55621,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2007","2007","USD","US Dollar","0","Units",,,43673.44808,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2008","2008","USD","US Dollar","0","Units",,,46156.04157,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2009","2009","USD","US Dollar","0","Units",,,44412.50179,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2010","2010","USD","US Dollar","0","Units",,,44752.11495,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2011","2011","USD","US Dollar","0","Units",,,46388.50035,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2012","2012","USD","US Dollar","0","Units",,,46386.97413,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2013","2013","USD","US Dollar","0","Units",,,46749.3088,,
"SIZEGDP_T1","GDP per capita","NLD","Netherlands","2014","2014","USD","US Dollar","0","Units",,,47634.7553,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2006","2006","USD","US Dollar","0","Units",,,36685.27097,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2007","2007","USD","US Dollar","0","Units",,,38728.78558,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2008","2008","USD","US Dollar","0","Units",,,41114.60569,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2009","2009","USD","US Dollar","0","Units",,,39831.131,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2010","2010","USD","US Dollar","0","Units",,,38592.46055,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2011","2011","USD","US Dollar","0","Units",,,39558.4316,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2012","2012","USD","US Dollar","0","Units",,,40497.55406,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2013","2013","USD","US Dollar","0","Units",,,41986.80103,,
"SIZEGDP_T1","GDP per capita","ISL","Iceland","2014","2014","USD","US Dollar","0","Units",,,43330.1416,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2006","2006","USD","US Dollar","0","Units",,,30062.83398,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2007","2007","USD","US Dollar","0","Units",,,31817.17892,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2008","2008","USD","US Dollar","0","Units",,,33125.46807,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2009","2009","USD","US Dollar","0","Units",,,32338.76753,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2010","2010","USD","US Dollar","0","Units",,,33180.3967,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2011","2011","USD","US Dollar","0","Units",,,34492.79911,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2012","2012","USD","US Dollar","0","Units",,,34804.03001,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2013","2013","USD","US Dollar","0","Units",,,35271.19015,,
"SIZEGDP_T1","GDP per capita","EU28","European Union (28 countries)","2014","2014","USD","US Dollar","0","Units",,,36236.93638,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2006","2006","USD","US Dollar","0","Units",,,37652.67887,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2007","2007","USD","US Dollar","0","Units",,,39239.7196,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2008","2008","USD","US Dollar","0","Units",,,41151.37897,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2009","2009","USD","US Dollar","0","Units",,,40642.35414,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2010","2010","USD","US Dollar","0","Units",,,41875.54752,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2011","2011","USD","US Dollar","0","Units",,,44038.72488,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2012","2012","USD","US Dollar","0","Units",,,44869.97774,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2013","2013","USD","US Dollar","0","Units",,,45132.53721,,
"SIZEGDP_T1","GDP per capita","AUT","Austria","2014","2014","USD","US Dollar","0","Units",,,46171.4264,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2006","2006","USD","US Dollar","0","Units",,,54719.8785,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2007","2007","USD","US Dollar","0","Units",,,56900.93746,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2008","2008","USD","US Dollar","0","Units",,,62421.26385,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2009","2009","USD","US Dollar","0","Units",,,56205.46804,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2010","2010","USD","US Dollar","0","Units",,,58775.39718,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2011","2011","USD","US Dollar","0","Units",,,62737.79604,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2012","2012","USD","US Dollar","0","Units",,,66357.7271,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2013","2013","USD","US Dollar","0","Units",,,65635.29269,,
"SIZEGDP_T1","GDP per capita","NOR","Norway","2014","2014","USD","US Dollar","0","Units",,,64836.69764,,
